idbase,ponderador,variable,value,index,raw_value
2110.0,1.1847591449646682,sexo,Hombre,2613,2
2240.0,0.8455146423265579,sexo,Mujer,2612,1
2225.0,0.9357676922988913,sexo,Hombre,2613,2
1547.0,0.8689247454382582,sexo,Mujer,2612,1
2322.0,0.6820013645392717,sexo,Mujer,2612,1
2379.0,1.217562046721443,sexo,Hombre,2613,2
2380.0,1.217562046721443,sexo,Hombre,2613,2
653.0,1.1847591449646682,sexo,Hombre,2613,2
2383.0,1.217562046721443,sexo,Hombre,2613,2
801.0,0.8455146423265579,sexo,Mujer,2612,1
2287.0,1.217562046721443,sexo,Hombre,2613,2
958.0,0.8634700259113033,sexo,Mujer,2612,1
2382.0,0.6863097088348782,sexo,Mujer,2612,1
1166.0,0.8689247454382582,sexo,Mujer,2612,1
2294.0,0.8689247454382582,sexo,Mujer,2612,1
2376.0,0.8689247454382582,sexo,Mujer,2612,1
2260.0,1.2099187387061097,sexo,Hombre,2613,2
2220.0,0.8689247454382582,sexo,Mujer,2612,1
2346.0,0.6678195218138128,sexo,Mujer,2612,1
2101.0,1.1847591449646682,sexo,Hombre,2613,2
2360.0,0.8689247454382582,sexo,Mujer,2612,1
2228.0,1.1847591449646682,sexo,Hombre,2613,2
2338.0,0.8689247454382582,sexo,Mujer,2612,1
2375.0,1.2099187387061097,sexo,Hombre,2613,2
2374.0,1.2099187387061097,sexo,Hombre,2613,2
2359.0,1.217562046721443,sexo,Hombre,2613,2
2211.0,1.217562046721443,sexo,Hombre,2613,2
2329.0,1.217562046721443,sexo,Hombre,2613,2
2126.0,0.9357676922988913,sexo,Hombre,2613,2
2384.0,0.8455146423265579,sexo,Mujer,2612,1
2363.0,0.8689247454382582,sexo,Mujer,2612,1
2340.0,1.1847591449646682,sexo,Hombre,2613,2
2353.0,1.217562046721443,sexo,Hombre,2613,2
2385.0,0.8455146423265579,sexo,Mujer,2612,1
1592.0,0.6863097088348782,sexo,Mujer,2612,1
2181.0,1.191133815660212,sexo,Mujer,2612,1
2387.0,0.8455146423265579,sexo,Mujer,2612,1
2370.0,1.1847591449646682,sexo,Hombre,2613,2
2354.0,0.6863097088348782,sexo,Mujer,2612,1
2367.0,0.8689247454382582,sexo,Mujer,2612,1
114.0,0.9408026489069816,sexo,Mujer,2612,1
2302.0,1.1847591449646682,sexo,Hombre,2613,2
2347.0,0.8455146423265579,sexo,Mujer,2612,1
2334.0,1.217562046721443,sexo,Hombre,2613,2
2366.0,1.191133815660212,sexo,Mujer,2612,1
2137.0,0.8634700259113033,sexo,Mujer,2612,1
