idbase,ponderador,variable,value,sort_value
2149.0,1.2099187387061097,sexo,Hombre,1.0
2061.0,0.8689247454382582,sexo,Mujer,2.0
2172.0,1.217562046721443,sexo,Hombre,1.0
2183.0,1.217562046721443,sexo,Hombre,1.0
2266.0,1.0161758522009203,sexo,Mujer,2.0
1283.0,1.1847591449646682,sexo,Hombre,1.0
2275.0,0.9616766678135392,sexo,Hombre,1.0
1824.0,1.1847591449646682,sexo,Hombre,1.0
2216.0,1.217562046721443,sexo,Hombre,1.0
1988.0,1.217562046721443,sexo,Hombre,1.0
2202.0,0.8689247454382582,sexo,Mujer,2.0
2224.0,1.217562046721443,sexo,Hombre,1.0
2332.0,0.9570417538408628,sexo,Mujer,2.0
1119.0,0.8689247454382582,sexo,Mujer,2.0
1541.0,1.3182794077137172,sexo,Hombre,1.0
2013.0,1.217562046721443,sexo,Hombre,1.0
2362.0,1.217562046721443,sexo,Hombre,1.0
2117.0,0.8455146423265579,sexo,Mujer,2.0
2105.0,0.8455146423265579,sexo,Mujer,2.0
2286.0,1.217562046721443,sexo,Hombre,1.0
849.0,1.2099187387061097,sexo,Hombre,1.0
1690.0,1.217562046721443,sexo,Hombre,1.0
2356.0,0.8455146423265579,sexo,Mujer,2.0
1128.0,0.8689247454382582,sexo,Mujer,2.0
1959.0,1.217562046721443,sexo,Hombre,1.0
2317.0,0.8455146423265579,sexo,Mujer,2.0
2298.0,0.8455146423265579,sexo,Mujer,2.0
2301.0,0.8455146423265579,sexo,Mujer,2.0
2337.0,1.217562046721443,sexo,Hombre,1.0
2343.0,1.1847591449646682,sexo,Hombre,1.0
2288.0,1.217562046721443,sexo,Hombre,1.0
2115.0,1.1847591449646682,sexo,Hombre,1.0
1961.0,1.217562046721443,sexo,Hombre,1.0
2207.0,0.8689247454382582,sexo,Mujer,2.0
2331.0,1.191133815660212,sexo,Mujer,2.0
2213.0,0.8689247454382582,sexo,Mujer,2.0
1747.0,0.8455146423265579,sexo,Mujer,2.0
2282.0,0.8689247454382582,sexo,Mujer,2.0
727.0,0.8455146423265579,sexo,Mujer,2.0
1675.0,0.6863097088348782,sexo,Mujer,2.0
2045.0,1.217562046721443,sexo,Hombre,1.0
2017.0,0.8689247454382582,sexo,Mujer,2.0
2178.0,1.191133815660212,sexo,Mujer,2.0
2352.0,1.6690505525687327,sexo,Hombre,1.0
2306.0,0.9357676922988912,sexo,Hombre,1.0
2264.0,1.2099187387061097,sexo,Hombre,1.0
2341.0,0.8455146423265579,sexo,Mujer,2.0
806.0,0.9357676922988912,sexo,Hombre,1.0
2291.0,0.6863097088348782,sexo,Mujer,2.0
2320.0,0.8634700259113033,sexo,Mujer,2.0
1728.0,0.8455146423265579,sexo,Mujer,2.0
53.0,0.9408026489069816,sexo,Mujer,2.0
1281.0,0.9519198893262194,sexo,Hombre,1.0
1659.0,0.8689247454382582,sexo,Mujer,2.0
2218.0,0.8689247454382582,sexo,Mujer,2.0
1772.0,1.1847591449646682,sexo,Hombre,1.0
1815.0,0.8455146423265579,sexo,Mujer,2.0
1949.0,1.6690505525687327,sexo,Hombre,1.0
2368.0,0.8689247454382582,sexo,Mujer,2.0
2377.0,1.191133815660212,sexo,Mujer,2.0
2123.0,1.1847591449646682,sexo,Hombre,1.0
2344.0,0.9357676922988912,sexo,Hombre,1.0
1576.0,0.9616766678135392,sexo,Hombre,1.0
2000.0,0.9616766678135392,sexo,Hombre,1.0
2122.0,1.1847591449646682,sexo,Hombre,1.0
2378.0,1.6690505525687327,sexo,Hombre,1.0
2005.0,1.217562046721443,sexo,Hombre,1.0
1188.0,0.9616766678135392,sexo,Hombre,1.0
